id;first_name;last_name;email;birth_date;nationality;sex
1;Keaton;Purdy;Delores11@yahoo.com;2020-02-21T02:27:09;Advanced grow;FEMALE
2;Natalie;Rodriguez;Kristy.Feil37@hotmail.com;2020-02-21T01:24:51;Refined;MALE
3;Wilburn;Wisozk;Alphonso.Hammes52@yahoo.com;2020-02-20T14:41:17;Senior Optional Yemeni Rial;FEMALE
4;Curt;Powlowski;Jacinto_Zieme@gmail.com;2020-02-20T22:51:21;Legacy Unbranded Plastic Chips;MALE
5;Cindy;Oberbrunner;Gilbert58@yahoo.com;2020-02-21T06:29:48;holistic;OTHER
6;Alexandro;Leuschke;Else_Jast68@gmail.com;2020-02-21T06:22:34;Frozen;OTHER
7;Haven;Reilly;Leslie.VonRueden@yahoo.com;2020-02-20T14:29:38;EXE Rustic Steel Shirt drive;OTHER
8;Geoffrey;Huel;Ricardo_Spinka@hotmail.com;2020-02-21T11:21:18;Grocery Plastic;OTHER
9;Kaden;Zulauf;Zena_Veum@hotmail.com;2020-02-20T18:25:25;Accounts navigating Ergonomic;MALE
10;Lempi;Durgan;Shad_Osinski4@gmail.com;2020-02-21T04:17:00;Steel;MALE
