id;first_name;last_name;email;phone
1;Jess;Bergstrom;Darrin14@yahoo.com;306-619-0940 x410
2;Christ;Hyatt;Bernice71@hotmail.com;110.246.8100
3;Delaney;Rowe;Yesenia55@hotmail.com;184-857-3953 x4219
4;Dusty;Johns;Carli.Pfeffer27@hotmail.com;(519) 105-9000 x006
5;Kelly;Gibson;Cletus_Brakus89@yahoo.com;(128) 587-7524
6;Maia;Murphy;Amie82@gmail.com;1-578-939-4365
7;Savannah;Schaden;Veda40@hotmail.com;895-900-6894
8;Estelle;Wisoky;Fernando.Greenfelder@yahoo.com;964.208.3789 x72399
9;Alfonzo;Ullrich;Mauricio.Ortiz87@gmail.com;(797) 399-8909 x430
10;Jeanie;Wolf;Katlyn_Osinski81@yahoo.com;004-072-7833
