id;birth_date;phone;nationality;sex
1;2021-02-12T15:14:35;774.003.8408 x44759;Avon;OTHER
2;2021-02-12T04:51:46;(691) 776-8743 x54166;array Wooden;MALE
3;2021-02-11T22:40:16;1-505-478-2360 x446;Auto Loan Account vertical azure;OTHER
4;2021-02-12T01:00:14;853.807.8323;Infrastructure;OTHER
5;2021-02-12T11:12:40;1-947-510-2636 x96539;Cotton;FEMALE
6;2021-02-12T15:23:26;1-500-761-9734 x37417;visualize;MALE
7;2021-02-12T17:02:56;870-623-7369 x9785;SMS;MALE
8;2021-02-12T10:20:11;110.753.0017;Total neutral Mouse;OTHER
9;2021-02-12T04:27:40;1-675-120-5940 x1909;feed Somoni Home Loan Account;OTHER
10;2021-02-12T07:14:10;652.560.3322 x77378;SCSI override migration;MALE
