id;birth_date;phone;nationality;sex
1;2020-10-29T14:50:17;774.003.8408 x44759;Avon;OTHER
2;2020-10-29T04:27:28;(691) 776-8743 x54166;array Wooden;MALE
3;2020-10-28T22:15:58;1-505-478-2360 x446;Auto Loan Account vertical azure;OTHER
4;2020-10-29T00:35:56;853.807.8323;Infrastructure;OTHER
5;2020-10-29T10:48:22;1-947-510-2636 x96539;Cotton;FEMALE
6;2020-10-29T14:59:08;1-500-761-9734 x37417;visualize;MALE
7;2020-10-29T16:38:38;870-623-7369 x9785;SMS;MALE
8;2020-10-29T09:55:53;110.753.0017;Total neutral Mouse;OTHER
9;2020-10-29T04:03:22;1-675-120-5940 x1909;feed Somoni Home Loan Account;OTHER
10;2020-10-29T06:49:52;652.560.3322 x77378;SCSI override migration;MALE
